medicineName,dosage,uses,details
"1, 2, 3 One Two Three 20","20 MG, 2 MG, 500 MG","Allergy relief, Antihistamine; Nasal decongestant; Pain relief, Fever reduction",Chlorpheniramine 2 MG + Paracetamol 500 MG + Pseudoephedrine 20 MG
"1, 2, 3 One Two Three Extra 20 Film Coated","20 MG, 2 MG, 500 MG","Allergy relief, Antihistamine; Nasal decongestant; Pain relief, Fever reduction",Chlorpheniramine 2 MG + Paracetamol 500 MG + Pseudoephedrine 20 MG
A - Viton 50000 I.u. 20 Caps,50000 MG,,Oral capsule formulation
Abilify 10 mg 10,10 MG,"Antipsychotic, Bipolar disorder, Schizophrenia",Aripiprazole
Abilify 15 mg 10,15 MG,"Antipsychotic, Bipolar disorder, Schizophrenia",Aripiprazole
Abilify 5 mg 10,5 MG,"Antipsychotic, Bipolar disorder, Schizophrenia",Aripiprazole
Abilify Maintena 300 mg Suspension for Injection in Pre-filled Syringe,300 MG,"Antipsychotic, Bipolar disorder, Schizophrenia",Aripiprazole
Abimol 300 mg 5 Rectal Suppositories,300 MG,"Pain relief, Fever reduction",Paracetamol
Abimol 500 mg 20,500 MG,"Pain relief, Fever reduction",Paracetamol
Abimol Extra 500 mg 20,500 MG,"Pain relief, Fever reduction",Paracetamol
Abimol Inf 300 Mg 5 Supp,300 MG,"Analgesic, Antipyretic",Paracetamol - Pain and fever relief
ABR Vit D 30 Sugar Coated,,"Bone health, Calcium absorption",Vitamin D3 (Cholecalciferol)
Acdisteron 20 Film Coated,,"Anti-inflammatory, Corticosteroid",Dexamethasone
Aceczema Topical Cream 15 gm,"3%, 1%","Antifungal, Antiprotozoal; Corticosteroid",Clioquinol 3% + Hydrocortisone 1%
Aceliofinaz 100 mg 20 Film Coated,100 MG,"Pain relief, Anti-inflammatory",Aceclofenac
Acenewrax 200 mg 10 Sachets,200 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Acetapax 14 Sachets,,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Acetapax 7 Sachets,,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Acetic Acid Sol 15 Ml روح الخل,"15 ML, 15 ML",,Pharmaceutical preparation
Acetothyme 10 Sachets,,Nutritional supplement,N-acetyl l-cysteine + thyme + vitamin c
Acetylcistein 200 mg 5 gm 10 Sachets,"200 MG, 5 G","Mucolytic, Acetaminophen overdose",Acetylcysteine
Acetylcistein 600 mg 10 Sachets,600 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Acetylcysteine 200 Mg Eff 10 Sachets,200 MG,,Pharmaceutical preparation
Acetylcysteine 600 Mg Eff 10 Sachets,600 MG,,Pharmaceutical preparation
Acetylovan,"147 mg, 25 mg, 50 mg",Pharmacological Agent,N-Acetyl cysteine 147 mg + Ivy 50 mg + Bee propolis 25 mg
Achtenon ( Akineton ) 2 Mg 20 Tab (606652),2 MG,,Oral tablet formulation
Achtenon ( Akineton ) 2 Mg 30 Tab (134304),2 MG,,Oral tablet formulation
Aciclovir 250 mg Vial,250 MG,Pharmacological Agent,Aciclovir
Aciclovir 500 mg Vial,500 MG,Pharmacological Agent,Aciclovir
Acidipan Oral Suspension 180 ml,180 ML,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Aciglotir 200 mg 30,200 MG,Pharmacological Agent,Aciclovir
Acivirax 400 mg 30,400 MG,"Herpes infections, Antiviral",Acyclovir
Acivirax 800 mg 20,800 MG,"Herpes infections, Antiviral",Acyclovir
Aclasta 5 mg Solution 100 ml (Fridge),"5 MG, 100 ML","Osteoporosis, Bone disorders",Zoledronic acid
Acless Soap 100 gm,100 G,Pharmacological Agent,"Salicylic acid, tea tree oil, cetrimide, zinc oxide, panthenol, allantoin, titanium dioxide"
ACM Novophane 60,,Nutritional supplement,"Cystine, Methionine, Iron Gluconate, Magnesium Oxide, Vitamin C, Zinc Gluconate, Horsetail Extract, Vitamins E, B3, B5, B6, B2, Biotin, Copper Gluconate, L-Arginine"
ACM Vitix Regulating Gel 50 ml,50 ML,Pharmacological Agent,"Patented plant extract (Catalase + SOD from melon), Aqua, Propylene Glycol, Hydroxypropyltrimonium Maltodextrin Crosspolymer"
Acne - Biotic Lotion 15 ml,"1.2%, 4%","Immune support, Wound healing; Bacterial infections, Antibiotic",Erythromycin 4% + Zinc Acetate 1.2%
Acne - Free 0.05% 30 Gm Cream,"30 G, 30 G, 0.05%",,Topical cream formulation
Acne Stop 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Acne-Free Cream 30 gm,0.05%,"Acne treatment, Skin renewal",Tretinoin 0.05%
Acnescave 0.1% 30 Gm Gel,"30 G, 30 G, 0.1%",,Topical gel formulation
AcneScave Gel 30 gm,30 G,Acne treatment,Adapalene
Acnetrox 1% 25 Gm Cream,"25 G, 25 G, 1%",,Topical cream formulation
Acniact 15 Gm Gel,"15 G, 15 G",,Topical gel formulation
Acniact Topical Gel 15 gm,15 G,Acne treatment,Adapalene + Benzoyl peroxide
Acnitaz Gel 15 gm,15 G,Retinoid,Tazarotene
Acretin 0.025 % Cream 30 gm,0.025%,"Acne treatment, Skin renewal",Tretinoin 0.025%
Acretin 0.025% 30 Gm Cream,"30 G, 30 G, 0.025%",,Topical cream formulation
Acretin 0.05 % Cream 30 gm,0.05%,"Acne treatment, Skin renewal",Tretinoin 0.05%
Acretin 0.05% 30 Gm Cream,"30 G, 30 G, 0.05%",,Topical cream formulation
Actemra 162 mg / 0.9 ml 4 Pre-filled Syringes (Fridge),"162 MG, 0.9 ML","Rheumatoid arthritis, Anti-inflammatory",Tocilizumab
Actemra 200 mg 1 Vial 10 ml (Fridge),"200 MG, 10 ML","Rheumatoid arthritis, Anti-inflammatory",Tocilizumab
Actemra 400 mg 1 Vial 20 ml (Fridge),"400 MG, 20 ML","Rheumatoid arthritis, Anti-inflammatory",Tocilizumab
Actemra 80 mg 1 Vial 4 ml (Fridge),"80 MG, 4 ML","Rheumatoid arthritis, Anti-inflammatory",Tocilizumab
Acti - Colla Advance 10 Sachets,"0.25 MG, 700 MG, 500 MG","Joint health, Skin health",Collagen 8 GM + Vitamin C 500 MG + Turmeric 700 MG + Black Pepper 0.25 MG
Acti - Colla Advance 30 Sachets,"0.25 MG, 700 MG, 500 MG","Joint health, Skin health",Collagen 8 GM + Vitamin C 500 MG + Turmeric 700 MG + Black Pepper 0.25 MG
Acti - Folic (Methyl Folate) 30 Tab,,,Oral tablet formulation
Acti Fizz Vit. C+D3 + Zinc (Orange) Eff 20 Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Acti Kid - Happy Appetite 120 Ml,"120 ML, 120 ML",,Pharmaceutical preparation
Acti Kid - Magic Beans Multi-Vitamin 60 Chew. Tab,,Vitamin Supplement,Oral tablet formulation
Acti Man - Vitamins C D B6 B12 + Zinc 90 Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Acti Woman - Vitamins C D + Zinc Biotin Selenium 90 Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Acti-Colla Advance 10 Sachets,,,Pharmaceutical preparation
Acti-Colla Advance 30 Sachets,,,Pharmaceutical preparation
Acti-Colla C 10 Sachets,,,Pharmaceutical preparation
Acti-Colla C 30 Sachets,,,Pharmaceutical preparation
Acti-Folic 30,,"Anemia prevention, Pregnancy support",Folic acid
Actica 10 Sachets ? 5 gm,5 G,Nutritional supplement,Calcium carbonate + Magnesium + Zinc + Vitamin D3 + Vitamin K2 + Lactoferrin
Actifast 50 mg 30,50 MG,"Pain relief, Anti-inflammatory",Diclofenac Potassium
Actifast 50 Mg 30 Sachets 2 Gm,"50 MG, 2 G, 2 G",,Pharmaceutical preparation
Actifast 50 Mg 6 Sachets 2 Gm,"50 MG, 2 G, 2 G",,Pharmaceutical preparation
Actifizz 20 Effervescent,1000mg,Nutritional supplement,Vitamin C 1000mg + Vitamin D + Zinc
Actiher 10 Sachets 3 gm,3 G,Nutritional supplement,Fenugreek + Fennel + Dill + Caraway + Chamomile + Anise oil + Calcium + Vitamin D3
Actilyse 50 mg 2 Vials (Fridge),50 MG,Pharmacological Agent,Alteplase
Actimar 50 Cap (37806),,,Oral capsule formulation
Actimo 100 mg 14 Sachets,100 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Actin Plus 30 Sachets,,Nutritional supplement,Neurological support supplement
Active Meno 30 Tab,,,Oral tablet formulation
Actos 15 mg 30,15 MG,Pharmacological Agent,Pioglitazone
Actos 30 mg 30,30 MG,Pharmacological Agent,Pioglitazone
Actos 30 Mg 30 Tab #,30 MG,,Oral tablet formulation
Actozone 30 mg 10,30 MG,Pharmacological Agent,Pioglitazone
Acyclovir 400 Mg 35 Tab ( Stada ) #,400 MG,Antiviral (Herpes),Acyclovir - Antiviral medication
Acyclovir 400 Stada 35,,"Herpes infections, Antiviral",Acyclovir
Acyclovir 5% 10 Gm Cream,"10 G, 10 G, 5%",Antiviral (Herpes),Acyclovir - Antiviral medication
Acyclovir 800 Mg 35 Tab ( Stada ) #,800 MG,Antiviral (Herpes),Acyclovir - Antiviral medication
Acyclovir 800 Stada 35,,"Herpes infections, Antiviral",Acyclovir
Adagel 0.1% Gel 30 gm,0.1%,Acne treatment,Adapalene 0.1%
Adancor 10 mg 30,10 MG,Pharmacological Agent,Nicorandil
Adancor 10 Mg 30 Tab #,10 MG,,Oral tablet formulation
Adancor 20 mg 30,20 MG,Pharmacological Agent,Nicorandil
Adapalene 0.1% 30 Gm Gel,"30 G, 30 G, 0.1%",,Topical gel formulation
Adcetris 50 mg 1 Vial (Fridge),50 MG,Pharmacological Agent,Brentuximab vedotin
Adenosin Forte 3+3,,Nutritional supplement,Adenosine triphosphate + Cocarboxylase + Vitamin B12 + Niacinamide
Adenosin Forte 3+3 Amp 2 Ml,"2 ML, 2 ML",,Pharmaceutical preparation
Adol 500 mg 24 Caplets,500 MG,"Pain relief, Fever reduction",Paracetamol (Acetaminophen)
Adol Extra 24 Caplets,,,Oral capsule formulation
Adol Sinus 24 Caplets,,"Pain relief, Fever reduction",Paracetamol (Acetaminophen)
Adolor 10 mg 20,10 MG,"Pain relief, Fever reduction",Paracetamol (Acetaminophen)
Adolor 15 Mg / 1 Ml 3 Amp,"15 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Adolor 15 mg/1 ml 3,"15 MG, 1 ML","Pain relief, Fever reduction",Paracetamol (Acetaminophen)
Adolor 30 Mg / 2 Ml 3 Amp,"30 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Adolor 30 mg/2 ml 3,"30 MG, 2 ML","Pain relief, Fever reduction",Paracetamol (Acetaminophen)
Adport (Prograf) 1 Mg 100 Cap,1 MG,,Oral capsule formulation
Adport 0.5 mg 100,0.5 MG,Pharmacological Agent,Tacrolimus
Adport 1 mg 100,1 MG,Pharmacological Agent,Tacrolimus
Adrenaline 1 mg/1 ml 1,"1 MG, 1 ML",Pharmacological Agent,Epinephrine (Adrenaline) as tartrate
Adrenaline 1 mg/ml 1 Ampoule (Egy Pharma),1 MG,Pharmacological Agent,Epinephrine (Adrenaline) as tartrate
Adrenamax 1 mg/ml 10,1 MG,Pharmacological Agent,Adrenaline (Epinephrine)
Adrenocortine 1 Mg / 1 Ml I.m. 1 Amp,"1 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Adricin 10 mg 1 Vial (Fridge),10 MG,Pharmacological Agent,Epirubicin
Adricin 50 mg / 25 ml 1 Vial (Fridge),"50 MG, 25 ML",Pharmacological Agent,Epirubicin
Adrien Gagnon Omega - 3 40 Cap,,,Oral capsule formulation
Adrien Gagnon Omega 3 40,"180 mg, 120 mg",Pharmacological Agent,"Marine fish oil (anchovy, sardine, mackerel and/or salmon flesh) providing EPA 180 mg + DHA 120 mg"
Advagraf 1 Mg 100 Cap,1 MG,,Oral capsule formulation
Advagraf 1 Mg 50 Cap,1 MG,,Oral capsule formulation
Advancevela Max Massage Cream 50 gm,50 G,Pharmacological Agent,Salicylic acid + Mentha piperita oil + Eucalyptus oil + Curcuma longa root oil + Menthol + Eugenia caryophyllus leaf oil + Camellia sinensis extract + Tocopherol + Triethanolamine + Disodium EDTA + Stearic acid + Phenoxyethanol + Emu oil + Aqua + Panthenol
Advancrib 400 Mg 5 Tab #,400 MG,,Oral tablet formulation
Advancrib 400 mg 7,400 MG,Pharmacological Agent,Moxifloxacin
Advantic Dento Care Mouth Wash - Peppermint 250 ml,0.2%,Pharmacological Agent,Chlorhexidine Digluconate 0.2% + Peppermint flavor
Advo Collagen 10 Sachets,,,Pharmaceutical preparation
Advochol 10 Mg 14 Tab (157152 - 312296),10 MG,,Oral tablet formulation
Advochol 10 Mg 28 Tab (157152 - 234992),10 MG,,Oral tablet formulation
Advohelix,3%,Pharmacological Agent,Dried ivy leaves extract (Standardized as NLT 3% Hederacoside C) + Sorbitol + Xanthan gum + Anhydrous citric acid + Potassium sorbate + Lemon flavor
Advoxin 400 mg 10 Film Coated,400 MG,Pharmacological Agent,Moxifloxacin
Adwiflam 12.5 Mg 5 Supp,12.5 MG,,Rectal suppository formulation
Adwiflam 50 Gm Emulgel,"50 G, 50 G",,Topical gel formulation
Adwiflam 50 mg 10 Sachets,50 MG,"Pain relief, Anti-inflammatory",Diclofenac potassium
Adwiflam 50 mg 20,50 MG,"Pain relief, Anti-inflammatory",Diclofenac potassium
Adwiflam 75 Mg / 3 Ml 6 Amp,"75 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Adwiflam 75 mg 5 Suppositories,75 MG,"Pain relief, Anti-inflammatory",Diclofenac potassium
Adwiflam E R 50 Mg 20 Cap,50 MG,,Oral capsule formulation
Adwiflam Emulgel 50 gm,50 G,"Pain relief, Anti-inflammatory",Diclofenac potassium
Adwifloxacen 400 Mg 7 Tab,400 MG,,Oral tablet formulation
Adwimove 50 Gm Gel,"50 G, 50 G",,Topical gel formulation
Adwistadine 7.5 Mg 30 Tab,7.5 MG,,Oral tablet formulation
Adwitine 30 Mg 30 Cap,30 MG,,Oral capsule formulation
Adwitine 60 mg 30,60 MG,SNRI Antidepressant,Duloxetine
Adwitine 60 Mg 30 Cap,60 MG,,Oral capsule formulation
Adwivalsar - Co 160/12.5 mg 30,12.5 MG,Pharmacological Agent,Valsartan + Hydrochlorothiazide
Aerius 5 mg 20,5 MG,Second-generation Antihistamine,Desloratadine
Aerotropa 500 mg/2.5 ml 10,"2.5mg, 500mcg",Beta2-agonist Bronchodilator; Anticholinergic Bronchodilator,Ipratropium bromide 500mcg/2.5ml + Salbutamol 2.5mg/2.5ml
Afinitor 10 mg 30,10 MG,Pharmacological Agent,Everolimus
After Meals 20,,Analgesic,Chamomile powder + Ginger root + Peppermint leaves + Anise flavor + Fennel powder + Bromelain + Papain
After Meals 20 Cap ( 313670 ),,,Oral capsule formulation
Agar Oral,,Pharmacological Agent,Agar-Agar Extract
Agarine Oral,,Pharmacological Agent,L-Arginine
Agera 50 Gm Acne Cream,"50 G, 50 G",,Topical cream formulation
Aggrex 75 mg 60,75 MG,Pharmacological Agent,Acetylsalicylic acid (Aspirin)
Agiolax 12 Sachets 5 gm,5 G,Pharmacological Agent,Plantago herb 2.6 gm + Ispaghula (Psyllium) husk 0.11g + Senna 0.62gm
Agiolax Gran 5 Gm 12 Pd . Sachet #,"5 G, 5 G",,Pharmaceutical preparation
Agnatix Syrup 60 Ml,"60 ML, 60 ML",,Oral liquid formulation
Agnucaston 20 mg 30,20 MG,Pharmacological Agent,Dry extract of chaste tree fruits (Vitex agnus-castus)
Agovald 25 Mg 21 Tab,25 MG,,Oral tablet formulation
Aiadoxime Powder For Oral Suspension 60 ml,60 ML,Pharmacological Agent,Cefpodoxime
Aig Esomeprazole 40 mg 21,40 MG,"Acid reflux, Stomach ulcers, GERD",Esomeprazole
Aig Esomeprazole 40 Mg 21 Cap (343628),40 MG,Proton Pump Inhibitor,Omeprazole - Acid reflux treatment
AIG Esomeprazole 40 mg 28,40 MG,"Acid reflux, Stomach ulcers, GERD",Esomeprazole
Aig Esomeprazole 40 Mg 28 Cap (383888),40 MG,Proton Pump Inhibitor,Omeprazole - Acid reflux treatment
Aig Minoxidil 2 % Scalp Lotion 100 ml,2%,Pharmacological Agent,Minoxidil 2%
Aig Minoxidil 5 % Scalp Lotion 100 ml,5%,Pharmacological Agent,Minoxidil 5%
Aig Minoxidil 5% Lotion 100 Ml,"100 ML, 100 ML, 5%",,Pharmaceutical preparation
Aimovig 140 Mg / 1 Ml S.c. 1 Pre-Filled Pen,"140 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Aimovig 70 Mg / 1 Ml S.c. 1 Pre-Filled Pen,"70 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Aimovig 70 mg/ml 1 Pre-filled Pen,70 MG,Pharmacological Agent,Erenumab
Aironyl 1.5 Mg / 5 Ml Syrup 120 Ml,"1.5 MG, 5 ML, 120 ML, 5 ML, 120 ML",Iron Supplement,Iron - Essential mineral for blood formation
Aironyl 1.5 mg/5 ml,"1.5 MG, 5 ML",Pharmacological Agent,Terbutaline sulfate
Aironyl 2.5 mg 20,2.5 MG,Pharmacological Agent,Terbutaline sulfate
Akanza Spray 15 ml,15 ML,Nutritional supplement,L-arginine + menthol crystals + tea tree oil + aloe vera extract + vitamin E + vitamin C
Akita Pro 30,,Pharmacological Agent,Lactobacillus acidophilus
Aknapalen Gel 25 gm,25 G,Acne treatment,Adapalene
Akren Face Cleanser 250 Ml,"250 ML, 250 ML",,Pharmaceutical preparation
Aktocal,,Nutritional supplement,Calcium supplement
Alan Anti-Dandruff Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Albendazole 200 mg/5 ml Suspension 30 ml,"200 MG, 5 ML, 30 ML",Pharmacological Agent,Albendazole
Albendazole 400 Mg / 10 Ml Susp 30 Ml,"400 MG, 10 ML, 30 ML, 10 ML, 30 ML",,Pharmaceutical preparation
Albendazole 400 Mg 6 Tab,400 MG,,Oral tablet formulation
Albing Whitening Cream 60 Ml,"60 ML, 60 ML",,Topical cream formulation
Albustix - D 16 / 12.5 Mg 30 Tab,12.5 MG,,Oral tablet formulation
Albustix 16 mg 30,16 MG,Loop Diuretic,Furosemide
